tag_header,tag_para,tag_formatting,word_count,interacting_span_tag,relative_x_coord,relative_y_coord,relative_listings,relative_hyperlinks,tag_img,src_img_interaction,red_flag_class,tag_table,tag_sup,tag_sup_child,red_flag_id,relative_table_elements,height_width_diff,label
NO,NO,NO,2,NO,0.998716045,0.035960864,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.036072084,0,0,NO,NO,NO,NO,NO,NO,NO,0,-54.83331299,0
NO,NO,NO,17,NO,0.896918542,0.036813545,0.470588235,0.058823529,NO,NO,NO,NO,NO,NO,NO,0.117647059,-108.5666809,0
NO,NO,NO,1,NO,0.896918542,0.036813545,0,0,NO,NO,NO,NO,NO,NO,NO,0,42.7833252,0
NO,NO,NO,1,NO,0.897835637,0.036924764,0,0,NO,NO,YES,NO,NO,NO,NO,0,-55.51667786,0
NO,NO,NO,16,NO,0.997798951,0.036813545,0.5,0.0625,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,0
NO,NO,NO,16,NO,0.998716045,0.036850618,0.5,0.0625,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,0
NO,NO,NO,16,NO,0.998716045,0.036850618,0.5,0.0625,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,0
NO,NO,NO,2,NO,0.998716045,0.036850618,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,2,NO,0.998716045,0.036924764,0,0,NO,NO,NO,NO,NO,NO,NO,0,-56.66667175,0
NO,NO,NO,2,NO,0.998716045,0.037517933,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.038222321,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.038889636,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.039594024,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,2,NO,0.998716045,0.040261339,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
